term,event,category,raw_date,date,end_date
Summer C 2028,S/U Grade Option,Registration,May 19,2028-05-19,2028-05-19
Summer C 2028,Withdrawal with 25% Refund (W assigned to all courses.),Financial,May 19,2028-05-19,2028-05-19
Summer A 2028,Honors Theses due to College Advising Offices,Academic,June 7,2028-06-07,2028-06-07
Summer A 2028,Drop Deadline (W assigned to individual course(s). Drops of individual courses must be approved by the student's college.),Registration,June 9,2028-06-09,2028-06-09
Summer A 2028,Withdrawal Deadline (W assigned to all courses.),Academic,June 9,2028-06-09,2028-06-09
Summer A 2028,Classes End,Academic,June 16,2028-06-16,2028-06-16
Summer A 2028,Drop or Add a Course after the Drop/Withdrawal Deadline (Students must petition their college with appropriate documentation for approval to drop or add.),Registration,June 16,2028-06-16,2028-06-16
Summer A 2028,Withdraw from All Courses after the Drop/Withdrawal Deadline (Students must petition their college with appropriate documentation for approval to withdraw from all courses.),Registration,June 16,2028-06-16,2028-06-16
Summer A 2028,Degree Status Available (on ONE.UF),Academic,June 22,2028-06-22,2028-06-22
Summer A 2028,"Final Grades Available (transcript view, on ONE.UF)",Academic,June 22,2028-06-22,2028-06-22
Summer C 2028,Degree Applications,Academic,June 30,2028-06-30,2028-06-30
Summer C 2028,Honors Theses due to College Advising Offices,Academic,July 26,2028-07-26,2028-07-26
Summer C 2028,Drop Deadline (W assigned to individual course(s). Drops of individual courses must be approved by the student's college.),Registration,July 28,2028-07-28,2028-07-28
Summer C 2028,Withdrawal Deadline (W assigned to all courses.),Academic,July 28,2028-07-28,2028-07-28
Summer C 2028,Classes End,Academic,August 4,2028-08-04,2028-08-04
Summer C 2028,Commencement (Dates of graduate and professional school commencements can vary. Please refer to the official schedules. Dates/times of all ceremonies will be posted when officially scheduled.),Commencement,August 4 - 5,2028-08-04,2028-08-05
Summer C 2028,Drop or Add a Course after the Drop/Withdrawal Deadline (Students must petition their college with appropriate documentation for approval to drop or add.),Registration,August 4,2028-08-04,2028-08-04
Summer C 2028,Withdraw from All Courses after the Drop/Withdrawal Deadline (Students must petition their college with appropriate documentation for approval to withdraw from all courses.),Registration,August 4,2028-08-04,2028-08-04
Summer C 2028,Degree Status Available (on ONE.UF),Academic,August 9,2028-08-09,2028-08-09
Summer C 2028,"Final Grades Available (transcript view, on ONE.UF)",Academic,August 9,2028-08-09,2028-08-09
